Experiment Name,Run,Execution Time (seconds),CPU Energy (Joules),Average Power (Watts)
teams_blur,1,30.1,232.47303771973384,7.723356734874878
teams_blur,10,30.109,216.31373596191042,7.184354709950859
teams_blur,11,30.11,209.45498657226562,6.9563263557710275
teams_blur,12,30.08,231.90026855468932,7.70945041737664
teams_blur,13,29.908,216.6004791259693,7.2422254622833115
teams_blur,14,29.912,207.8375396728552,6.948299668121664
teams_blur,15,30.091,224.6951446533203,7.467187685797092
teams_blur,16,30.101,245.19383239746458,8.14570387686338
teams_blur,17,30.09,289.0133361816406,9.604962983770044
teams_blur,18,29.467,139.9459228515625,4.749242299913887
teams_blur,19,29.469,135.94358825683594,4.6131048985997465
teams_blur,2,29.923,217.40216064453125,7.265386513535784
teams_blur,20,29.498,133.0396728515625,4.510125189896349
teams_blur,21,29.487,135.26930236816042,4.587421655921608
teams_blur,22,29.7,136.85704040527344,4.607981158426715
teams_blur,23,29.455,132.845947265625,4.5101323125318284
teams_blur,24,29.69,135.2276153564453,4.55465191500321
teams_blur,25,29.492,136.70376586914062,4.635282987560715
teams_blur,26,29.678,138.99586486816406,4.683464683205204
teams_blur,27,29.467,133.40548706054688,4.527284320105436
teams_blur,28,29.265,63.80805969238281,2.1803539959809606
teams_blur,29,29.47,135.65216064453125,4.603059404293561
teams_blur,3,30.116,200.75685119628884,6.6661193782802775
teams_blur,30,29.254,136.66319274902344,4.671607053702859
teams_blur,4,30.105,202.58154296875,6.7291660178956985
teams_blur,5,29.097,204.40396118164017,7.024915323972924
teams_blur,6,30.111,208.5065155029297,6.9245961775739655
teams_blur,7,30.082,230.7628631591797,7.671127689621025
teams_blur,8,30.069,219.86773681640625,7.31210671510214
teams_blur,9,29.893,215.68032836914062,7.215078057375995
teams_camera_off,1,29.307,162.51271057128906,5.545184105206574
teams_camera_off,10,29.516,170.56134033203125,5.7786061909483415
teams_camera_off,11,29.304,207.47276306152344,7.080015119489607
teams_camera_off,12,29.697,173.01171875,5.825898870256255
teams_camera_off,13,29.677,200.3862915039099,6.752242191054012
teams_camera_off,14,29.714,172.86593627929688,5.817659563818297
teams_camera_off,15,29.489,189.64663696289062,6.431097594455242
teams_camera_off,16,29.103,178.6470489501953,6.1384410181148095
teams_camera_off,17,29.688,195.54693603515625,6.586733226729866
teams_camera_off,18,29.699,188.58026123046875,6.349717540337006
teams_camera_off,19,29.308,190.14755249024165,6.487906117450581
teams_camera_off,2,29.503,199.38409423828125,6.758095591576492
teams_camera_off,20,29.699,167.18406677246094,5.629282695459811
teams_camera_off,21,29.714,196.9888458251953,6.6294960565792325
teams_camera_off,22,29.295,167.23248291015625,5.708567431648959
teams_camera_off,23,29.676,167.31558227538335,5.638077310802782
teams_camera_off,24,29.668,171.5480499267651,5.7822586600635395
teams_camera_off,25,29.898,188.74061584472656,6.31281744078957
teams_camera_off,26,29.505,164.42864990234375,5.572907978388197
teams_camera_off,27,29.683,199.15310668944585,6.709332166204422
teams_camera_off,28,29.717,195.71434020996094,6.585938695358244
teams_camera_off,29,29.702,177.5101318359375,5.976369666552336
teams_camera_off,3,29.913,219.5078887939435,7.338210436731304
teams_camera_off,30,29.712,187.61148071289062,6.314333626578171
teams_camera_off,4,29.507,185.35940551757812,6.2818790631910435
teams_camera_off,5,29.697,173.6056671142578,5.845899151909547
teams_camera_off,6,29.716,191.20249938964844,6.434328287442739
teams_camera_off,7,29.715,175.3275146484375,5.900303370299091
teams_camera_off,8,29.528,181.36158752441406,6.14202070998422
teams_camera_off,9,29.695,178.72369384765625,6.018646029555691
teams_camera_on,1,29.9,200.56983947753906,6.708021387208665
teams_camera_on,10,29.893,211.14392089843386,7.063323216085165
teams_camera_on,11,29.707,180.35824584960938,6.0712372790793205
teams_camera_on,12,29.708,204.32843017578125,6.87789249278919
teams_camera_on,13,29.306,175.8852233886755,6.001679635183086
teams_camera_on,14,29.902,202.7180633544922,6.779414867048765
teams_camera_on,15,29.906,210.6322631835974,7.043143957185762
teams_camera_on,16,29.906,201.85186767578125,6.7495441608968525
teams_camera_on,17,29.688,198.85775756835938,6.698253758028812
teams_camera_on,18,29.901,198.40016174316406,6.6352350002730365
teams_camera_on,19,29.883,195.6361846923828,6.546738436314387
teams_camera_on,2,29.884,188.43624877929688,6.305589906950103
teams_camera_on,20,29.917,201.8504180908203,6.747014008450724
teams_camera_on,21,29.707,223.9223937988354,7.537697976868596
teams_camera_on,22,29.897,192.97128295898438,6.454536674548764
teams_camera_on,23,29.511,198.08883666992915,6.71237290061093
teams_camera_on,24,29.685,195.0661163330078,6.571201493448132
teams_camera_on,25,29.505,178.1095733642578,6.0365895056518495
teams_camera_on,26,29.89,190.8261260986328,6.384279896240643
teams_camera_on,27,29.705,191.40512084960938,6.443532093910432
teams_camera_on,28,29.696,207.0818328857422,6.973391463016641
teams_camera_on,29,29.505,214.2527618408203,7.2615747107547985
teams_camera_on,3,29.699,182.27981567382812,6.137574183434732
teams_camera_on,30,29.724,188.67010498046875,6.347399575443034
teams_camera_on,4,29.7,213.4725799560547,7.187628954749316
teams_camera_on,5,29.694,189.25631713867006,6.37355415702398
teams_camera_on,6,29.726,191.61286926269895,6.445968824015978
teams_camera_on,7,29.714,194.0056762695276,6.52909996195489
teams_camera_on,8,29.708,182.20187377929324,6.133091213790671
teams_camera_on,9,29.693,199.5864868164099,6.7216679626986116
teams_noblur,1,29.714,214.00093078612554,7.202023651683568
teams_noblur,10,29.488,223.775833129881,7.588708394258037
teams_noblur,11,29.52,235.84396362304506,7.989294160672258
teams_noblur,12,29.517,207.9042053222638,7.043541190577085
teams_noblur,13,29.868,223.13369750976926,7.47066082462064
teams_noblur,14,29.49,226.29017639159792,7.673454608056899
teams_noblur,15,29.52,209.17103576659792,7.085739693990445
teams_noblur,16,29.495,219.19413757323855,7.4315693362684705
teams_noblur,17,29.703,209.3724822998047,7.0488665218935695
teams_noblur,18,29.843,139.7796173095703,4.683832634439242
teams_noblur,19,29.7,139.16775512695676,4.6857830009076356
teams_noblur,2,29.498,244.8522186279297,8.300637962842554
teams_noblur,20,29.879,137.96347045898438,4.617405885705156
teams_noblur,21,29.898,136.760498046875,4.5742356695054855
teams_noblur,22,29.909,137.10267639160156,4.583993994837726
teams_noblur,23,29.895,139.7097625732422,4.673348806597832
teams_noblur,24,29.864,137.46083068847656,4.602894143064444
teams_noblur,25,30.082,141.70095825195312,4.710489935906958
teams_noblur,26,29.466,137.51014709472656,4.66673953352089
teams_noblur,27,29.895,138.09127807617188,4.619209836968452
teams_noblur,28,29.676,53.58428955078125,1.805643939573435
teams_noblur,29,29.863,139.5610809326172,4.67337778966002
teams_noblur,3,29.919,225.72955322265636,7.5446891013287996
teams_noblur,30,30.068,138.854248046875,4.618007451339464
teams_noblur,4,29.312,215.36618041992097,7.347372421531146
teams_noblur,5,29.68,234.75538635253906,7.909548057700103
teams_noblur,6,29.511,220.79193115234284,7.48168246255101
teams_noblur,7,29.73,207.20823669433594,6.969668237280052
teams_noblur,8,29.315,219.44131469726562,7.485632430403057
teams_noblur,9,29.893,228.3185577392578,7.637860293020366
teams_noshare,1,29.893,98.97331237792969,3.3109193583089582
teams_noshare,10,29.666,154.80503845214116,5.218264627928981
teams_noshare,11,29.499,159.42459106445312,5.404406626138281
teams_noshare,12,29.897,164.78359985350835,5.511710200137417
teams_noshare,13,30.095,161.51792907714844,5.366935672940636
teams_noshare,14,30.115,160.25126647949946,5.321310525635048
teams_noshare,15,29.7,164.41104125976562,5.535725294941604
teams_noshare,16,29.507,198.27957153320312,6.719746891693602
teams_noshare,17,29.701,163.8595428466797,5.516970568219241
teams_noshare,18,30.057,162.7451629638672,5.414551118337399
teams_noshare,19,29.913,170.95263671875,5.714994708613312
teams_noshare,2,29.902,71.87103271484375,2.403552695968288
teams_noshare,20,29.89,72.383834838869,2.421673965837036
teams_noshare,21,29.304,100.29493713378906,3.4225681522587044
teams_noshare,22,29.666,72.99052429199219,2.4604100415287595
teams_noshare,23,29.478,75.16529846191588,2.549877822848086
teams_noshare,24,29.727,74.86341857910156,2.5183644020285114
teams_noshare,25,29.505,109.38034057617188,3.707179819561833
teams_noshare,26,30.083,75.81446838378906,2.5201764579260404
teams_noshare,27,30.069,101.94935607910156,3.390513687821396
teams_noshare,28,29.1,75.72689819335938,2.6022989069882945
teams_noshare,29,29.684,87.68286132812136,2.9538762069842797
teams_noshare,3,29.709,98.52095031738281,3.3161988056610054
teams_noshare,30,29.503,93.09187316894531,3.1553358359809276
teams_noshare,4,29.483,113.25711059570312,3.8414377979073744
teams_noshare,5,30.098,110.95510864257812,3.68646118155951
teams_noshare,6,29.301,72.34234619139897,2.4689377902255547
teams_noshare,7,29.487,98.584228515625,3.343311578513413
teams_noshare,8,29.949,76.7447509765625,2.5625146407747335
teams_noshare,9,30.095,151.52975463867188,5.035047504192454
teams_share,1,29.317,123.74479675292969,4.220922903193699
teams_share,10,29.885,227.0548553466797,7.597619385868485
teams_share,11,29.881,233.39329528808594,7.8107591877141305
teams_share,12,29.88,209.67327880859375,7.017178005642362
teams_share,13,29.896,211.7603302001953,7.083232880659463
teams_share,14,29.917,234.9322509765625,7.852801115638683
teams_share,15,29.91,220.78033447265625,7.381488949269684
teams_share,16,29.885,213.96789550781227,7.159708733739745
teams_share,17,29.716,251.5545654296875,8.46529026213782
teams_share,18,29.903,220.3143310546875,7.367633048680316
teams_share,19,29.866,146.407180786131,4.902135565061642
teams_share,2,30.08,121.04071044921875,4.023959788870305
teams_share,20,29.281,101.99864196777344,3.4834412065084335
teams_share,21,30.096,123.56840515136719,4.105808251972594
teams_share,22,30.078,123.10455322265443,4.0928437137660225
teams_share,23,30.081,125.00631713867188,4.155656964152517
teams_share,24,29.479,67.06321716308594,2.2749488504727413
teams_share,25,30.105,132.97132873535156,4.416918410076451
teams_share,26,30.083,125.68252563476562,4.177858778538232
teams_share,27,30.09,129.5981140136755,4.307016085532586
teams_share,28,29.057,106.69767761230105,3.6720128579103504
teams_share,29,29.106,104.03326416015989,3.574289292934786
teams_share,3,29.089,127.62542724608647,4.3874119854957705
teams_share,30,29.501,72.87066650390625,2.470108352391656
teams_share,4,29.285,125.98783874511719,4.302128691996489
teams_share,5,29.301,123.97183227539062,4.230976153557579
teams_share,6,29.106,101.13670349121094,3.4747716447196773
teams_share,7,29.484,97.61149597167969,3.3106598823660183
teams_share,8,29.486,67.78871154786611,2.2990134825973723
teams_share,9,29.7,225.76605224609375,7.601550580676557
zoom_blur,1,29.297,206.37734985351562,7.0443168192482375
zoom_blur,10,29.285,223.53874206543333,7.633216392878038
zoom_blur,11,29.28,207.01103210448855,7.070048910672423
zoom_blur,12,29.294,211.0446166992224,7.204363238179231
zoom_blur,13,29.295,244.99885559082395,8.363162846588972
zoom_blur,14,29.101,194.8581085205078,6.695924831466542
zoom_blur,15,29.691,138.09750366210938,4.651157039577965
zoom_blur,16,29.693,135.6615447998047,4.568805604007836
zoom_blur,17,29.688,138.8365020751953,4.676519202209489
zoom_blur,18,29.698,134.91941833496094,4.543047287189741
zoom_blur,19,29.703,137.3002471923828,4.622437033039855
zoom_blur,2,29.297,211.40673828125,7.215985878460252
zoom_blur,20,29.691,137.2577362060547,4.62287347027903
zoom_blur,21,29.686,136.79550170898438,4.608081307989772
zoom_blur,22,29.701,137.45538330078125,4.627971559906443
zoom_blur,23,29.684,138.59115600585938,4.668884112850673
zoom_blur,24,29.674,139.45669555663335,4.699625785422705
zoom_blur,25,29.687,158.14366149902344,5.327034105804676
zoom_blur,26,29.693,138.28323364257812,4.6570987654524005
zoom_blur,27,29.468,136.42959594725835,4.6297541722294815
zoom_blur,28,29.491,134.28216552734375,4.553326965085747
zoom_blur,29,29.693,138.93991088867188,4.67921432285966
zoom_blur,3,29.305,211.40065002441406,7.213808224685687
zoom_blur,30,29.685,137.29354858398438,4.625014269293731
zoom_blur,4,29.29,203.9112091064435,6.961802973931154
zoom_blur,5,30.084,201.5710754394513,6.700275077763971
zoom_blur,6,29.285,235.51309204101562,8.042106608878798
zoom_blur,7,29.296,194.65684509277344,6.64448542779811
zoom_blur,8,29.308,219.27081298828125,7.481602736054362
zoom_blur,9,29.333,210.4403533935547,7.174184481422108
zoom_camera_off,1,29.695,148.25698852539062,4.9926583103347575
zoom_camera_off,10,29.898,157.96748352051145,5.283546843284214
zoom_camera_off,11,29.274,158.7630615234375,5.423347049376153
zoom_camera_off,12,29.722,168.0476226806677,5.653980979768107
zoom_camera_off,13,29.708,149.80503845214844,5.042582417266341
zoom_camera_off,14,29.677,149.85308837890625,5.049468894393175
zoom_camera_off,15,29.689,161.58119201660156,5.442459901532607
zoom_camera_off,16,29.701,185.0734405517578,6.23121916944742
zoom_camera_off,17,29.885,172.07618713378906,5.757945027063378
zoom_camera_off,18,29.703,184.59907531737554,6.214829320855656
zoom_camera_off,19,29.904,150.30862426757812,5.026371865555716
zoom_camera_off,2,29.724,148.68931579589844,5.002331980752874
zoom_camera_off,20,29.878,169.15057373046875,5.661375384244888
zoom_camera_off,21,29.874,152.1474151611328,5.092970983501801
zoom_camera_off,22,29.701,178.18617248535156,5.999332429391319
zoom_camera_off,23,29.703,153.30369567871094,5.1612192599640085
zoom_camera_off,24,29.704,185.836669921875,6.256284336179471
zoom_camera_off,25,29.695,170.46363830566406,5.740482852522784
zoom_camera_off,26,29.902,151.8201446533203,5.077257195281931
zoom_camera_off,27,29.502,179.77954101561772,6.093808589777566
zoom_camera_off,28,29.497,148.0504150390625,5.019168560838814
zoom_camera_off,29,29.719,173.41360473632812,5.835109012292746
zoom_camera_off,3,29.712,179.70367431640625,6.048185053729344
zoom_camera_off,30,29.471,145.44314575195312,4.935127608562761
zoom_camera_off,4,29.662,146.88372802734557,4.951915852853671
zoom_camera_off,5,29.885,161.60101318359375,5.407428916968169
zoom_camera_off,6,29.871,189.5722198486328,6.346363357391209
zoom_camera_off,7,29.716,163.99728393554688,5.518820969698037
zoom_camera_off,8,29.498,148.71600341796875,5.041562255677292
zoom_camera_off,9,29.309,167.3698272705078,5.710526707513317
zoom_camera_on,1,29.89,185.47218322753906,6.205158354885883
zoom_camera_on,10,30.102,187.5408172607422,6.2301779702591915
zoom_camera_on,11,29.3,170.2471923828125,5.8104843816659555
zoom_camera_on,12,29.905,172.8660888671875,5.780507903935378
zoom_camera_on,13,29.288,183.5956726074255,6.268631269032556
zoom_camera_on,14,29.912,185.89346313476562,6.214678494743435
zoom_camera_on,15,30.105,203.1774444580078,6.748960121508315
zoom_camera_on,16,29.1,187.66087341308594,6.448827265054499
zoom_camera_on,17,29.689,171.76763916015625,5.7855649957949495
zoom_camera_on,18,29.113,168.8987274169922,5.8014882498194
zoom_camera_on,19,29.696,185.58522033691406,6.2495023012161255
zoom_camera_on,2,29.084,181.7834167480487,6.250289394445355
zoom_camera_on,20,30.1,188.00341796875,6.245960729858804
zoom_camera_on,21,29.903,186.77908325194585,6.246165376448713
zoom_camera_on,22,29.315,170.44534301757812,5.814270612914144
zoom_camera_on,23,29.915,186.6446075439526,6.239164551026327
zoom_camera_on,24,29.316,172.4149169921875,5.881256549058109
zoom_camera_on,25,29.118,169.06333923339844,5.806145313325038
zoom_camera_on,26,29.107,182.39283752441406,6.266287749490297
zoom_camera_on,27,29.305,195.88334655762446,6.684297783914842
zoom_camera_on,28,29.304,181.4573211669849,6.192237277060637
zoom_camera_on,29,29.092,169.02178955078125,5.809906144327694
zoom_camera_on,3,30.087,176.54266357421875,5.867739009346852
zoom_camera_on,30,29.285,181.8550567626953,6.209836324490193
zoom_camera_on,4,29.288,183.5548858642578,6.267238659664635
zoom_camera_on,5,30.1,201.80577087402162,6.704510660266498
zoom_camera_on,6,29.682,168.56869506835938,5.679155551120524
zoom_camera_on,7,29.113,169.07650756835938,5.807594805357035
zoom_camera_on,8,30.094,203.61610412597656,6.766003327107614
zoom_camera_on,9,29.29,181.91104125976562,6.210687649701796
zoom_noblur,1,30.097,185.5571746826172,6.16530467098439
zoom_noblur,10,29.911,198.18235778808594,6.625734939924641
zoom_noblur,11,29.676,170.842620849613,5.756928860008526
zoom_noblur,12,30.116,200.77818298339844,6.666827699010441
zoom_noblur,13,29.704,220.55805969237917,7.425197269471424
zoom_noblur,14,30.086,190.21282958984375,6.32230371567652
zoom_noblur,15,29.284,125.5726318359375,4.2880969756842475
zoom_noblur,16,29.852,129.8849334716797,4.350962530874972
zoom_noblur,17,29.889,125.50576782226562,4.199062123934077
zoom_noblur,18,29.868,138.98541259765625,4.653321702077684
zoom_noblur,19,29.9,125.52923583984375,4.1983022020014635
zoom_noblur,2,29.662,172.3102569580078,5.809124703594088
zoom_noblur,20,29.677,137.4521942138672,4.631606773389062
zoom_noblur,21,29.859,126.44938659667969,4.234883505699443
zoom_noblur,22,29.453,126.9781494140625,4.311212759788901
zoom_noblur,23,29.065,125.08641052246094,4.303678325217992
zoom_noblur,24,30.073,129.18299865722656,4.2956472136875785
zoom_noblur,25,30.07,126.0868225097729,4.193110159952541
zoom_noblur,26,29.276,125.859619140625,4.299071565125871
zoom_noblur,27,30.083,129.45460510253906,4.303247851030119
zoom_noblur,28,29.488,127.1297607421875,4.311237138571198
zoom_noblur,29,29.105,122.95420837403071,4.224504668408545
zoom_noblur,3,29.673,172.94158935546875,5.828247543405411
zoom_noblur,30,30.076,129.49119567871094,4.305466008734903
zoom_noblur,4,30.099,189.2488555908203,6.287546283624716
zoom_noblur,5,29.91,190.34503173827943,6.363926169785337
zoom_noblur,6,29.915,176.79034423827943,5.909755782660185
zoom_noblur,7,29.698,209.67503356933594,7.0602408771410845
zoom_noblur,8,29.508,185.63218688964844,6.2909104951080534
zoom_noblur,9,29.099,171.6824951171875,5.899944847492612
zoom_noshare,1,29.304,83.39093017577397,2.845718337966625
zoom_noshare,10,29.909,169.26123046875,5.659207277700692
zoom_noshare,11,29.529,170.9088134765625,5.787829370332978
zoom_noshare,12,29.499,161.2325897216797,5.46569679384656
zoom_noshare,13,29.298,150.05520629882812,5.1216877021922365
zoom_noshare,14,29.284,159.05462646484375,5.431451525230288
zoom_noshare,15,30.11,210.70323181152344,6.9977825244610905
zoom_noshare,16,29.487,188.77087402343705,6.401833825870284
zoom_noshare,17,30.106,164.3375244140625,5.458630320004733
zoom_noshare,18,29.903,178.2903289794922,5.962289033859218
zoom_noshare,19,29.708,148.14071655273438,4.9865597331605755
zoom_noshare,2,29.932,90.46847534179688,3.022466769403878
zoom_noshare,20,29.882,164.64291381835938,5.509768884892556
zoom_noshare,21,29.72,178.42428588867188,6.003508946455986
zoom_noshare,22,29.294,182.02580261230287,6.213757172537136
zoom_noshare,23,29.688,76.17005920410156,2.5656850984943937
zoom_noshare,24,29.879,101.57411193847656,3.399515108888402
zoom_noshare,25,29.663,81.8216552734375,2.7583742464834136
zoom_noshare,26,29.363,75.47343444824219,2.5703584255097294
zoom_noshare,27,29.665,107.77650451660156,3.633119990446707
zoom_noshare,28,29.47,85.33641052246094,2.8957044629270765
zoom_noshare,29,29.875,76.8173980712927,2.571293659290132
zoom_noshare,3,29.305,77.91830444335938,2.6588740639262713
zoom_noshare,30,29.695,74.01509094237917,2.4925102186354327
zoom_noshare,4,29.894,73.14419555664062,2.446785159451416
zoom_noshare,5,29.94,91.35862731933594,3.0513903580272523
zoom_noshare,6,29.703,85.52508544921875,2.8793416641153673
zoom_noshare,7,29.518,73.3166809082104,2.483795680879816
zoom_noshare,8,30.09,76.70719909667969,2.5492588599760615
zoom_noshare,9,30.11,92.04217529296875,3.056864008401486
zoom_share,1,29.298,101.32295227051509,3.4583573032464705
zoom_share,10,29.71,173.51432800293696,5.840266846278592
zoom_share,11,29.891,161.2231750488354,5.393702955700224
zoom_share,12,29.71,193.55178833007812,6.5147017277037405
zoom_share,13,29.887,182.0189666748047,6.090238788597206
zoom_share,14,29.914,164.75660705566406,5.507675571828043
zoom_share,15,29.908,182.46156311035156,6.100761104398541
zoom_share,16,29.918,189.7139129638672,6.341129519482157
zoom_share,17,29.895,161.3810577392578,5.3982625100939226
zoom_share,18,29.913,159.78111267089844,5.341527518834568
zoom_share,19,29.9,162.15794372558594,5.423342599517925
zoom_share,2,29.501,92.43751525878906,3.1333688776241164
zoom_share,20,29.901,188.7118377685547,6.311221623643179
zoom_share,21,29.892,162.98696899414062,5.4525280675144066
zoom_share,22,29.888,180.03749084472656,6.023738317877628
zoom_share,23,29.29,78.43347167968568,2.6778242294191084
zoom_share,24,29.467,109.6849365234375,3.722297367341009
zoom_share,25,29.296,91.63098144531432,3.1277642492256392
zoom_share,26,29.276,76.82623291015807,2.6242052503811335
zoom_share,27,29.066,107.06674194335938,3.683573313953051
zoom_share,28,29.28,94.67309570312136,3.2333707548880244
zoom_share,29,29.284,79.3958892822302,2.711237852828514
zoom_share,3,29.482,81.06166076660156,2.749530587022643
zoom_share,30,29.266,76.45948791503906,2.612570488452097
zoom_share,4,29.281,76.10369873046875,2.5990812721720142
zoom_share,5,29.271,103.36923217773438,3.531455439777745
zoom_share,6,29.285,100.89100646972656,3.445142785375672
zoom_share,7,29.295,79.13809204101562,2.7014197658650154
zoom_share,8,29.274,79.71556091308594,2.723083996484455
zoom_share,9,29.269,94.0504150390625,3.21331152547277
